icd_decimal,icd_short,overlap_ufhealth,request_idr
I21,I21,0,yes
I21.0,I210,0,yes
I21.01,I2101,0,yes
I21.02,I2102,0,yes
I21.09,I2109,0,yes
I21.1,I211,0,yes
I21.11,I2111,0,yes
I21.19,I2119,0,yes
I21.2,I212,0,yes
I21.21,I2121,0,yes
I21.29,I2129,0,yes
I21.3,I213,0,yes
I21.4,I214,0,yes
I21.9,I219,0,yes
I21.A,I21A,0,yes
I21.A1,I21A1,0,yes
I21.A9,I21A9,0,yes
I22,I22,0,yes
I22.0,I220,0,yes
I22.1,I221,0,yes
I22.2,I222,0,yes
I22.8,I228,0,yes
I22.9,I229,0,yes
I71,I71,0,yes
I71.0,I710,0,yes
I71.010,I71010,0,yes
I71.011,I71011,0,yes
I71.012,I71012,0,yes
I71.019,I71019,0,yes
I71.1,I711,0,yes
I71.10,I7110,0,yes
I71.11,I7111,0,yes
I71.12,I7112,0,yes
I71.13,I7113,0,yes
I71.20,I7120,0,yes
I71.21,I7121,0,yes
I71.22,I7122,0,yes
I71.23,I7123,0,yes
I71.3,I713,0,yes
I71.30,I7130,0,yes
I71.31,I7131,0,yes
I71.32,I7132,0,yes
I71.33,I7133,0,yes
I71.40,I7140,0,yes
I71.41,I7141,0,yes
I71.42,I7142,0,yes
I71.43,I7143,0,yes
I71.5,I715,0,yes
I71.50,I7150,0,yes
I71.51,I7151,0,yes
I71.52,I7152,0,yes
I71.6,I716,0,yes
I71.60,I7160,0,yes
I71.61,I7161,0,yes
I71.62,I7162,0,yes
I71.8,I718,0,yes
I79.0,I790,0,yes
N17,N17,0,yes
N17.0,N170,0,yes
N17.1,N171,0,yes
N17.2,N172,0,yes
N17.8,N178,0,yes
N17.9,N179,0,yes
J80,J80,0,yes
J95.1,J951,0,yes
J95.2,J952,0,yes
J95.3,J953,0,yes
J95.82,J9582,0,yes
J95.821,J95821,0,yes
J95.822,J95822,0,yes
J96.0,J960,0,yes
J96.00,J9600,0,yes
J96.01,J9601,0,yes
J96.02,J9602,0,yes
J96.2,J962,0,yes
J96.20,J9620,0,yes
J96.21,J9621,0,yes
J96.22,J9622,0,yes
J96.9,J969,0,yes
J96.90,J9690,0,yes
J96.91,J9691,0,yes
J96.92,J9692,0,yes
R06.03,R0603,0,yes
R09.2,R092,0,yes
O88.112,O88112,0,yes
O88.119,O88119,0,yes
I46,I46,0,yes
I46.2,I462,0,yes
I46.8,I468,0,yes
I46.9,I469,0,yes
I49.0,I490,0,yes
I49.01,I4901,0,yes
I49.02,I4902,0,yes
5A2204Z,5A2204Z,0,yes
5A12012,5A12012,0,yes
D65,D65,0,yes
O45.012,O45012,0,yes
O45.019,O45019,0,yes
O45.022,O45022,0,yes
O45.029,O45029,0,yes
O45.O99,O45O99,0,yes
O46.002,O46002,0,yes
O46.003,O46003,0,yes
O46.009,O46009,0,yes
O46.012,O46012,0,yes
O46.013,O46013,0,yes
O46.019,O46019,0,yes
O46.022,O46022,0,yes
O46.092,O46092,0,yes
O46.093,O46093,0,yes
O46.099,O46099,0,yes
O15,O15,0,yes
O15.0,O150,0,yes
I97.12,I9712,0,yes
I97.120,I97120,0,yes
I97.121,I97121,0,yes
I97.13,I9713,0,yes
I97.130,I97130,0,yes
I97.710,I97710,0,yes
I97.711,I97711,0,yes
A81.2,A812,0,yes
G45,G45,0,yes
G45.1,G451,0,yes
G45.2,G452,0,yes
G46,G46,0,yes
G46.0,G460,0,yes
G46.1,G461,0,yes
G46.2,G462,0,yes
G46.5,G465,0,yes
G46.6,G466,0,yes
G46.7,G467,0,yes
G46.8,G468,0,yes
H34.0,H340,0,yes
H34.00,H3400,0,yes
H34.01,H3401,0,yes
H34.03,H3403,0,yes
I60,I60,0,yes
I60.0,I600,0,yes
I60.00,I6000,0,yes
I60.01,I6001,0,yes
I60.02,I6002,0,yes
I60.1,I601,0,yes
I60.10,I6010,0,yes
I60.11,I6011,0,yes
I60.3,I603,0,yes
I60.30,I6030,0,yes
I60.32,I6032,0,yes
I60.5,I605,0,yes
I60.50,I6050,0,yes
I60.51,I6051,0,yes
I60.52,I6052,0,yes
I61,I61,0,yes
I61.4,I614,0,yes
I62,I62,0,yes
I62.0,I620,0,yes
I62.01,I6201,0,yes
I62.02,I6202,0,yes
I62.03,I6203,0,yes
I62.1,I621,0,yes
I63,I63,0,yes
I63.0,I630,0,yes
I63.01,I6301,0,yes
I63.011,I63011,0,yes
I63.012,I63012,0,yes
I63.013,I63013,0,yes
I63.019,I63019,0,yes
I63.03,I6303,0,yes
I63.032,I63032,0,yes
I63.033,I63033,0,yes
I63.039,I63039,0,yes
I63.1,I631,0,yes
I63.10,I6310,0,yes
I63.11,I6311,0,yes
I63.111,I63111,0,yes
I63.112,I63112,0,yes
I63.113,I63113,0,yes
I63.119,I63119,0,yes
I63.12,I6312,0,yes
I63.13,I6313,0,yes
I63.133,I63133,0,yes
I63.139,I63139,0,yes
I63.2,I632,0,yes
I63.20,I6320,0,yes
I63.21,I6321,0,yes
I63.211,I63211,0,yes
I63.213,I63213,0,yes
I63.22,I6322,0,yes
I63.23,I6323,0,yes
I63.232,I63232,0,yes
I63.233,I63233,0,yes
I63.239,I63239,0,yes
I63.3,I633,0,yes
I63.30,I6330,0,yes
I63.31,I6331,0,yes
I63.313,I63313,0,yes
I63.32,I6332,0,yes
I63.321,I63321,0,yes
I63.322,I63322,0,yes
I63.323,I63323,0,yes
I63.329,I63329,0,yes
I63.33,I6333,0,yes
I63.332,I63332,0,yes
I63.333,I63333,0,yes
I63.339,I63339,0,yes
I63.34,I6334,0,yes
I63.341,I63341,0,yes
I63.342,I63342,0,yes
I63.343,I63343,0,yes
I63.349,I63349,0,yes
I63.4,I634,0,yes
I63.41,I6341,0,yes
I63.413,I63413,0,yes
I63.419,I63419,0,yes
I63.42,I6342,0,yes
I63.421,I63421,0,yes
I63.422,I63422,0,yes
I63.423,I63423,0,yes
I63.43,I6343,0,yes
I63.431,I63431,0,yes
I63.432,I63432,0,yes
I63.433,I63433,0,yes
I63.439,I63439,0,yes
I63.44,I6344,0,yes
I63.441,I63441,0,yes
I63.442,I63442,0,yes
I63.443,I63443,0,yes
I63.5,I635,0,yes
I63.51,I6351,0,yes
I63.513,I63513,0,yes
I63.519,I63519,0,yes
I63.52,I6352,0,yes
I63.521,I63521,0,yes
I63.523,I63523,0,yes
I63.529,I63529,0,yes
I63.53,I6353,0,yes
I63.533,I63533,0,yes
I63.539,I63539,0,yes
I63.54,I6354,0,yes
I63.541,I63541,0,yes
I63.543,I63543,0,yes
I63.59,I6359,0,yes
I65,I65,0,yes
I65.0,I650,0,yes
I65.2,I652,0,yes
I65.9,I659,0,yes
I66,I66,0,yes
I66.0,I660,0,yes
I66.03,I6603,0,yes
I66.1,I661,0,yes
I66.13,I6613,0,yes
I66.19,I6619,0,yes
I66.2,I662,0,yes
I66.29,I6629,0,yes
I67,I67,0,yes
I67.0,I670,0,yes
